127.0.0.1 - - [24/May/2020:11:58:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:29 +0530] "OPTIONS /librarymanagementsystemspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:29 +0530] "OPTIONS /librarymanagementsystemspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:31 +0530] "POST /librarymanagementsystemspringrest/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:31 +0530] "POST /librarymanagementsystemspringrest/login HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:31 +0530] "POST /librarymanagementsystemspringrest/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [24/May/2020:12:24:35 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [24/May/2020:12:26:41 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [24/May/2020:12:27:08 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [24/May/2020:12:28:04 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [24/May/2020:12:28:06 +0530] "OPTIONS /librarymanagementsystemspringrest/deleteBook/902 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/May/2020:12:28:07 +0530] "DELETE /librarymanagementsystemspringrest/deleteBook/902 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [24/May/2020:12:28:07 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/May/2020:12:33:32 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
